Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,cultivation_temperature,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,tissue
SRR6671610,3d,RNA-Seq,74,1013672947,PRJNA432934,SAMN08466675,481020102,GEO,public,25,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3648320,w[1118],GSM2978238,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2018-10-11T00:00:00Z,GSM2978238,brain,SRP132187,BL5905 (FBst0005905),brain
SRR6671611,3d,RNA-Seq,74,1248627639,PRJNA432934,SAMN08466675,552483695,GEO,public,25,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3648320,w[1118],GSM2978238,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2018-10-11T00:00:00Z,GSM2978238,brain,SRP132187,BL5905 (FBst0005905),brain
SRR6671612,3d,RNA-Seq,74,973913761,PRJNA432934,SAMN08466674,462142625,GEO,public,25,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3648321,w[1118],GSM2978239,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2018-10-11T00:00:00Z,GSM2978239,brain,SRP132187,BL5905 (FBst0005905),brain
SRR6671613,3d,RNA-Seq,74,1153254102,PRJNA432934,SAMN08466674,512590141,GEO,public,25,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3648321,w[1118],GSM2978239,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2018-10-11T00:00:00Z,GSM2978239,brain,SRP132187,BL5905 (FBst0005905),brain
SRR6671614,3d,RNA-Seq,74,1190028063,PRJNA432934,SAMN08466673,564032671,GEO,public,25,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3648322,w[1118],GSM2978240,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2018-10-11T00:00:00Z,GSM2978240,brain,SRP132187,BL5905 (FBst0005905),brain
SRR6671615,3d,RNA-Seq,74,1442234213,PRJNA432934,SAMN08466673,638662592,GEO,public,25,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3648322,w[1118],GSM2978240,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2018-10-11T00:00:00Z,GSM2978240,brain,SRP132187,BL5905 (FBst0005905),brain
SRR6671616,20d,RNA-Seq,74,1187521157,PRJNA432934,SAMN08466672,564056120,GEO,public,25,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3648323,w[1118],GSM2978241,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2018-10-11T00:00:00Z,GSM2978241,brain,SRP132187,BL5905 (FBst0005905),brain
SRR6671617,20d,RNA-Seq,74,1479817513,PRJNA432934,SAMN08466672,657089723,GEO,public,25,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3648323,w[1118],GSM2978241,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2018-10-11T00:00:00Z,GSM2978241,brain,SRP132187,BL5905 (FBst0005905),brain
SRR6671618,20d,RNA-Seq,74,912838081,PRJNA432934,SAMN08466671,433187382,GEO,public,25,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3648324,w[1118],GSM2978242,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2018-10-11T00:00:00Z,GSM2978242,brain,SRP132187,BL5905 (FBst0005905),brain
SRR6671619,20d,RNA-Seq,74,1115381853,PRJNA432934,SAMN08466671,495748435,GEO,public,25,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3648324,w[1118],GSM2978242,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2018-10-11T00:00:00Z,GSM2978242,brain,SRP132187,BL5905 (FBst0005905),brain
SRR6671620,20d,RNA-Seq,74,1228868758,PRJNA432934,SAMN08466670,585029746,GEO,public,25,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3648325,w[1118],GSM2978243,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2018-10-11T00:00:00Z,GSM2978243,brain,SRP132187,BL5905 (FBst0005905),brain
