sample_name,Genotype,Age,cultivation_temperature
GSM2978238,w[1118],3,25
GSM2978239,w[1118],3,25
GSM2978240,w[1118],3,25
GSM2978241,w[1118],20,25
GSM2978242,w[1118],20,25
GSM2978243,w[1118],20,25
GSM2978244,w[1118],20,29
GSM2978245,w[1118],20,29
GSM2978246,w[1118],20,29
GSM2978247,w[1118],20,29
GSM2978248,w[1118],20,29
GSM2978249,w[1118]; E(z)[61] / E(z)[731],20,25
GSM2978250,w[1118]; E(z)[61] / E(z)[731],20,25
GSM2978251,w[1118]; E(z)[61] / E(z)[731],20,25
GSM2978252,w[1118]; E(z)[61] / E(z)[731],20,29
GSM2978253,w[1118]; E(z)[61] / E(z)[731],20,29
GSM2978254,w[1118]; E(z)[61] / E(z)[731],20,29
GSM2978255,w[1118]; E(z)[61] / E(z)[731],20,29
GSM2978256,w[1118]; E(z)[61] / E(z)[731],20,29
