Run,Assay Type,AvgSpotLen,Bases,Biological.Replicate,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,tissue_type
SRR2968532,RNA-Seq,125,2189598375,1,PRJNA304641,SAMN04305405,1017902112,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1457967,Progenitor,GSM1959750,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-01-03T00:00:00Z,GSM1959750,female,Adult Body,SRP066864,Body
SRR2968533,RNA-Seq,125,2373580375,2,PRJNA304641,SAMN04305406,1151763037,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1457968,Progenitor,GSM1959751,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-01-03T00:00:00Z,GSM1959751,female,Adult Body,SRP066864,Body
SRR2968534,RNA-Seq,125,2220028875,3,PRJNA304641,SAMN04305407,1030004516,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1457969,Progenitor,GSM1959752,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-01-03T00:00:00Z,GSM1959752,female,Adult Body,SRP066864,Body
SRR2968535,RNA-Seq,125,2189345250,4,PRJNA304641,SAMN04305408,1064358078,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1457970,Progenitor,GSM1959753,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-01-03T00:00:00Z,GSM1959753,female,Adult Body,SRP066864,Body
SRR2968536,RNA-Seq,125,2027571375,1,PRJNA304641,SAMN04305409,939853928,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1457971,Progenitor,GSM1959754,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-01-03T00:00:00Z,GSM1959754,male,Adult Body,SRP066864,Body
SRR2968537,RNA-Seq,125,2018853750,2,PRJNA304641,SAMN04305410,979135542,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1457972,Progenitor,GSM1959755,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-01-03T00:00:00Z,GSM1959755,male,Adult Body,SRP066864,Body
SRR2968538,RNA-Seq,125,2173676250,3,PRJNA304641,SAMN04305411,1008773346,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1457973,Progenitor,GSM1959756,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-01-03T00:00:00Z,GSM1959756,male,Adult Body,SRP066864,Body
SRR2968539,RNA-Seq,125,2229714000,4,PRJNA304641,SAMN04305412,1078581828,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1457974,Progenitor,GSM1959757,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-01-03T00:00:00Z,GSM1959757,male,Adult Body,SRP066864,Body
SRR2968540,RNA-Seq,125,2131325250,1,PRJNA304641,SAMN04305413,987052588,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1457975,RNAi knockdown,GSM1959758,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-01-03T00:00:00Z,GSM1959758,female,Adult Body,SRP066864,Body
SRR2968541,RNA-Seq,125,2215971000,2,PRJNA304641,SAMN04305414,1079411685,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1457976,RNAi knockdown,GSM1959759,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-01-03T00:00:00Z,GSM1959759,female,Adult Body,SRP066864,Body
