sample_name,fq1_uri,fq2_uri,fq3_uri,library_type,cdna_read,umi_read,barcode_read
FCA14_Female_head_adult_5dWT_Luo_sample5_S5,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L001_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L001_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L001_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA5_Male_Adult_Head2_S2,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA5_Male_Adult_Head2_S2_L001_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA5_Male_Adult_Head2_S2_L001_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA5_Male_Adult_Head2_S2_L001_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA1_Head_S1,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA1_Head_S1_L002_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA1_Head_S1_L002_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA1_Head_S1_L002_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA7_Female_Adult_Head1_S4,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA7_Female_Adult_Head1_S4_L001_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA7_Female_Adult_Head1_S4_L001_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA7_Female_Adult_Head1_S4_L001_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA8_Female_Adult_Head2_S5,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA8_Female_Adult_Head2_S5_L001_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA8_Female_Adult_Head2_S5_L001_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA8_Female_Adult_Head2_S5_L001_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA9_Female_Adult_Head3_S6,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA9_Female_Adult_Head3_S6_L001_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA9_Female_Adult_Head3_S6_L001_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA9_Female_Adult_Head3_S6_L001_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA1_Head_S1,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA1_Head_S1_L003_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA1_Head_S1_L003_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA1_Head_S1_L003_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA10_Male_head_adult_5dWT_Luo_sample4_S1,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L001_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L001_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L001_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA10_Male_head_adult_5dWT_Luo_sample4_S1,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L002_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L002_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L002_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
FCA10_Male_head_adult_5dWT_Luo_sample4_S1,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L003_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L003_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L003_I1_001.fastq.gz,10xV3,read 2,read 1,index 1
