sample_name,Genotype
GSM2372606,"G9a+/+ (Kramer et al.\, 2011)"
GSM2372607,"G9a+/+ (Kramer et al.\, 2011)"
GSM2372608,"G9a+/+ (Kramer et al.\, 2011)"
GSM2372609,"G9aDD1 (Kramer et al.\, 2011)"
GSM2372610,"G9aDD1 (Kramer et al.\, 2011)"
GSM2372611,"G9aDD1 (Kramer et al.\, 2011)"
GSM2372612,Elav-Gal4 / + ; dicer2 / + ; P{y[+t7.7]=CaryP}attP2 / +
GSM2372613,Elav-Gal4 / + ; dicer2 / + ; P{y[+t7.7]=CaryP}attP2 / +
GSM2372614,Elav-Gal4 / + ; dicer2 / + ; P{TRiP.HMS01019}attP2 / +
GSM2372615,Elav-Gal4 / + ; dicer2 / + ; P{TRiP.HMS01019}attP2 / +
