sample_name,knockdown,stock,driver,driver_stock,tissue,path_r1,path_r2
kd_Unr_head_rep1,Unr,32432,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_Unr_head_rep2,Unr,32491,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_NFI_head_rep1,NFI,31929,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_NFI_head_rep2,NFI,31929,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_CG16779_head_rep1,CG16779,51756,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_CG16779_head_rep2,CG16779,51756,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_vvl_head_rep1,vvl,50657,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_vvl_head_rep2,vvl,26228,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_awd_gonad_rep1,awd,33712,C587,67747,female_gonad,amarel_novo_r1,amarel_novo_r2
kd_awd_gonad_rep2,awd,42532,C587,67747,female_gonad,amarel_novo_r1,amarel_novo_r2
kd_mamo_gonad_rep1,mamo,51779,C587,67747,female_gonad,amarel_novo_r1,amarel_novo_r2
kd_mamo_gonad_rep2,mamo,60111,C587,67747,female_gonad,amarel_novo_r1,amarel_novo_r2
kd_ct_gonad_rep1,ct,29625,C587,67747,female_gonad,amarel_novo_r1,amarel_novo_r2
kd_ct_gonad_rep2,ct,29625,C587,67747,female_gonad,amarel_novo_r1,amarel_novo_r2
gfp_head_rep1,control,35786,Mef2.R,25756,female_head,amarel_novo2_r1,amarel_novo2_r2
gfp_head_rep2,control,35786,Mef2.R,25756,female_head,amarel_novo2_r1,amarel_novo2_r2
gfp_ovary_rep1,control,35786,C587,67747,female_gonad,amarel_novo2_r1,amarel_novo2_r2
gfp_ovary_rep2,control,35786,C587,67747,female_gonad,amarel_novo2_r1,amarel_novo2_r2
kd_CG16779_gonad_rep1,CG16779,51756,C587,67747,female_gonad,amarel_novo2_r1,amarel_novo2_r2
kd_CG16779_gonad_rep2,CG16779,51756,C587,67747,female_gonad,amarel_novo2_r1,amarel_novo2_r2
