sample_name,subsample_name,LibraryLayout,Experiment,Run,fq_r1,fq_r2
kd_Unr_head_rep1,a,PAIRED,kd_Unr_head_rep1,kd_Unr_head_rep1,R7/R7_CKDL220009339-1a_HHK5NBBXX_L7_1.fq.gz,R7/R7_CKDL220009339-1a_HHK5NBBXX_L7_2.fq.gz
kd_Unr_head_rep2,a,PAIRED,kd_Unr_head_rep2,kd_Unr_head_rep2,R8/R8_CKDL220009340-1a_HHK5NBBXX_L7_1.fq.gz,R8/R8_CKDL220009340-1a_HHK5NBBXX_L7_2.fq.gz
kd_NFI_head_rep1,a,PAIRED,kd_NFI_head_rep1,kd_NFI_head_rep1,R10/R10_CKDL220009342-1a_HHK5NBBXX_L7_1.fq.gz,R10/R10_CKDL220009342-1a_HHK5NBBXX_L7_2.fq.gz
kd_NFI_head_rep2,a,PAIRED,kd_NFI_head_rep2,kd_NFI_head_rep2,R9/R9_CKDL220009341-1a_HHK5NBBXX_L7_1.fq.gz,R9/R9_CKDL220009341-1a_HHK5NBBXX_L7_2.fq.gz
kd_CG16779_head_rep1,a,PAIRED,kd_CG16779_head_rep1,kd_CG16779_head_rep1,R11/R11_CKDL220009343-1a_HHK5NBBXX_L7_1.fq.gz,R11/R11_CKDL220009343-1a_HHK5NBBXX_L7_2.fq.gz
kd_CG16779_head_rep2,a,PAIRED,kd_CG16779_head_rep2,kd_CG16779_head_rep2,R12/R12_CKDL220009344-1a_HHK5NBBXX_L7_1.fq.gz,R12/R12_CKDL220009344-1a_HHK5NBBXX_L7_2.fq.gz
kd_vvl_head_rep1,a,PAIRED,kd_vvl_head_rep1,kd_vvl_head_rep1,R13/R13_CKDL220009345-1a_HHK5NBBXX_L7_1.fq.gz,R13/R13_CKDL220009345-1a_HHK5NBBXX_L7_2.fq.gz
kd_vvl_head_rep2,a,PAIRED,kd_vvl_head_rep2,kd_vvl_head_rep2,R14/R14_CKDL220009346-1a_HHK5NBBXX_L7_1.fq.gz,R14/R14_CKDL220009346-1a_HHK5NBBXX_L7_2.fq.gz
kd_awd_gonad_rep1,a,PAIRED,kd_awd_gonad_rep1,kd_awd_gonad_rep1,R1/R1_CKDL220009333-1a_HHK5NBBXX_L7_1.fq.gz,R1/R1_CKDL220009333-1a_HHK5NBBXX_L7_2.fq.gz
kd_awd_gonad_rep2,a,PAIRED,kd_awd_gonad_rep2,kd_awd_gonad_rep2,R2/R2_CKDL220009334-1a_HHK5NBBXX_L7_1.fq.gz,R2/R2_CKDL220009334-1a_HHK5NBBXX_L7_2.fq.gz
kd_mamo_gonad_rep1,a,PAIRED,kd_mamo_gonad_rep1,kd_mamo_gonad_rep1,R3/R3_CKDL220009335-1a_HHK5NBBXX_L7_1.fq.gz,R3/R3_CKDL220009335-1a_HHK5NBBXX_L7_2.fq.gz
kd_mamo_gonad_rep2,a,PAIRED,kd_mamo_gonad_rep2,kd_mamo_gonad_rep2,R4/R4_CKDL220009336-1a_HHK5NBBXX_L7_1.fq.gz,R4/R4_CKDL220009336-1a_HHK5NBBXX_L7_2.fq.gz
kd_ct_gonad_rep1,a,PAIRED,kd_ct_gonad_rep1,kd_ct_gonad_rep1,R5/R5_CKDL220009337-1a_HHK5NBBXX_L7_1.fq.gz,R5/R5_CKDL220009337-1a_HHK5NBBXX_L7_2.fq.gz
kd_ct_gonad_rep2,a,PAIRED,kd_ct_gonad_rep2,kd_ct_gonad_rep2,R6/R6_CKDL220009338-1a_HHK5NBBXX_L7_1.fq.gz,R6/R6_CKDL220009338-1a_HHK5NBBXX_L7_2.fq.gz
gfp_head_rep1,a,PAIRED,gfp_head_rep1,gfp_head_rep1,U5/U5_CKDL220017659-1A_HHMFCCCX2_L8_1.fq.gz,U5/U5_CKDL220017659-1A_HHMFCCCX2_L8_2.fq.gz
gfp_head_rep2,a,PAIRED,gfp_head_rep2,gfp_head_rep2,U6/U6_CKDL220017660-1A_HHMFCCCX2_L8_1.fq.gz,U6/U6_CKDL220017660-1A_HHMFCCCX2_L8_2.fq.gz
gfp_ovary_rep1,a,PAIRED,gfp_ovary_rep1,gfp_ovary_rep1,U1/U1_CKDL220017655-1A_HHMFCCCX2_L8_1.fq.gz,U1/U1_CKDL220017655-1A_HHMFCCCX2_L8_2.fq.gz
gfp_ovary_rep2,a,PAIRED,gfp_ovary_rep2,gfp_ovary_rep2,U2/U2_CKDL220017656-1A_HHMFCCCX2_L8_1.fq.gz,U2/U2_CKDL220017656-1A_HHMFCCCX2_L8_2.fq.gz
kd_CG16779_gonad_rep1,a,PAIRED,kd_CG16779_gonad_rep1,kd_CG16779_gonad_rep1,U3/U3_CKDL220017657-1A_HHMFCCCX2_L8_1.fq.gz,U3/U3_CKDL220017657-1A_HHMFCCCX2_L8_2.fq.gz
kd_CG16779_gonad_rep2,a,PAIRED,kd_CG16779_gonad_rep2,kd_CG16779_gonad_rep2,U4/U4_CKDL220017658-1A_HHMFCCCX2_L8_1.fq.gz,U4/U4_CKDL220017658-1A_HHMFCCCX2_L8_2.fq.gz
