sample_name,source_name,Developmental_Stage,input
TCF_16.24.seq_Input_Rep1_SRR1198742,TCF_16-24-seq_Input_Rep1,Embryo 16-24h,TCF_16.24.seq_Input_Rep1_SRR1198742
TCF_16.24.seq_Input_Rep2_SRR1198743,TCF_16-24-seq_Input_Rep2,Embryo 16-24h,TCF_16.24.seq_Input_Rep2_SRR1198743
TCF_16.24.seq_ChIP_Rep1_SRR1198744,TCF_16-24-seq_ChIP_Rep1,Embryo 16-24h,TCF_16.24.seq_Input_Rep1_SRR1198742
TCF_16.24.seq_ChIP_Rep2_SRR1198745,TCF_16-24-seq_ChIP_Rep2,Embryo 16-24h,TCF_16.24.seq_Input_Rep2_SRR1198743
H3K4me3_WPP.seq_Input_Rep1_SRR1198760,H3K4me3_WPP-seq_Input_Rep1,White Prepupae (WPP),H3K4me3_WPP.seq_Input_Rep1_SRR1198760
H3K4me3_WPP.seq_Input_Rep2_SRR1198761,H3K4me3_WPP-seq_Input_Rep2,White Prepupae (WPP),H3K4me3_WPP.seq_Input_Rep2_SRR1198761
H3K4me3_WPP.seq_ChIP_Rep1_SRR1198762,H3K4me3_WPP-seq_ChIP_Rep1,White Prepupae (WPP),H3K4me3_WPP.seq_Input_Rep1_SRR1198760
H3K4me3_WPP.seq_ChIP_Rep2_SRR1198763,H3K4me3_WPP-seq_ChIP_Rep2,White Prepupae (WPP),H3K4me3_WPP.seq_Input_Rep2_SRR1198761
H3K4me1_S2_cells_ChIP.seq_Input_Rep1_SRR1198780,H3K4me1_S2_cells_ChIP-seq_Input_Rep1,late embryonic stage,H3K4me1_S2_cells_ChIP.seq_Input_Rep1_SRR1198780
H3K4me1_S2_cells_ChIP.seq_Input_Rep2_SRR1198781,H3K4me1_S2_cells_ChIP-seq_Input_Rep2,late embryonic stage,H3K4me1_S2_cells_ChIP.seq_Input_Rep2_SRR1198781
H3K4me1_S2_cells_ChIP.seq_ChIP_Rep1_SRR1198782,H3K4me1_S2_cells_ChIP-seq_ChIP_Rep1,late embryonic stage,H3K4me1_S2_cells_ChIP.seq_Input_Rep1_SRR1198780
H3K4me1_S2_cells_ChIP.seq_ChIP_Rep2_SRR1198783,H3K4me1_S2_cells_ChIP-seq_ChIP_Rep2,late embryonic stage,H3K4me1_S2_cells_ChIP.seq_Input_Rep2_SRR1198781
H3K4me1_W3L_ChIP.seq_Input_Rep1_SRR1198784,H3K4me1_W3L_ChIP-seq_Input_Rep1,L3,H3K4me1_W3L_ChIP.seq_Input_Rep1_SRR1198784
