Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,age_cv,Age,developmental_stage_cv,Developmental_Stage,fertility_phenotype,Genotype,sex,sex_cv,source_name,tissue_cv
SRR7095620,RNA-Seq,51,206381496,PRJNA454717,SAMN09014385,135537768,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024031,GSM3127607,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127607,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: w[*]/y[1] sc[*] v[1]; P{w[+mW.hs]=GAL4-da.G32}UH1/P{y[+t7.7] v[+t1.8]=VALIUM20-mCherry}attP2,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095623,RNA-Seq,51,227249676,PRJNA454717,SAMN09014382,144337975,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024034,GSM3127610,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127610,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,Genotype: w[*]/y[1] sc[*] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HMC04875}attP40; P{w[+mW.hs]=GAL4-da.G32}UH1,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095624,RNA-Seq,51,206474622,PRJNA454717,SAMN09014381,133827218,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024035,GSM3127611,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127611,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,Genotype: w[*]/y[1] sc[*] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HMC04875}attP40; P{w[+mW.hs]=GAL4-da.G32}UH1,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095627,RNA-Seq,51,790166001,PRJNA454717,SAMN09014378,501809824,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024038,GSM3127614,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127614,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,"Genotype: Df(1)sov\, w[1118]/y[1] P{SUPor-P}CG14438[KG00226]",female,FBcv:0000334,ovary,FBbt:00004865
SRR7095629,RNA-Seq,51,231417243,PRJNA454717,SAMN09014344,152059181,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024040,GSM3127616,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127616,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,"Genotype: Df(1)sov\, w[1118]/y[1] cv[1] sov[2] v[1] f[1]",female,FBcv:0000334,ovary,FBbt:00004865
SRR7095634,RNA-Seq,51,298979493,PRJNA454717,SAMN09014339,189791489,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024045,GSM3127621,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127621,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] P{SUPor-P}CG14438[KG00226],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095636,RNA-Seq,51,227538795,PRJNA454717,SAMN09014337,149612361,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024047,GSM3127623,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127623,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] P{SUPor-P}CG14438[KG00226],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095638,RNA-Seq,51,224232312,PRJNA454717,SAMN09014335,148595815,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024049,GSM3127625,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127625,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] P{SUPor-P}CG14438[KG00226]/y[*] w[*] P{w[+mW.hs]=GawB}NP6070,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095639,RNA-Seq,51,261615771,PRJNA454717,SAMN09014334,165949198,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024050,GSM3127626,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127626,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] P{SUPor-P}CG14438[KG00226]/y[*] w[*] P{w[+mW.hs]=GawB}NP6070,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095641,RNA-Seq,51,286303953,PRJNA454717,SAMN09014332,184290344,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024052,GSM3127628,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127628,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] P{SUPor-P}CG14438[KG00226]/y[1] cv[1] sov[2] v[1] f[1],female,FBcv:0000334,ovary,FBbt:00004865
