sample_name,rnai
MED4_SRR3487882,MED4
Taf4_SRR3487883,Taf4
pad_SRR3487884,pad
CG10366_SRR3487885,CG10366
CG3711_SRR3487886,CG3711
zfh1_SRR3487887,zfh1
Met_SRR3487888,Met
CG8159_SRR3487889,CG8159
lola_SRR3487890,lola
Taf12_SRR3487891,Taf12
CG17612_SRR3487892,CG17612
Cdk8_SRR3487893,Cdk8
Spt3_SRR3487894,Spt3
bs_SRR3487895,bs
vri_SRR3487896,vri
btn_SRR3487897,btn
Taf7_SRR3487898,Taf7
Gcn5_SRR3487899,Gcn5
Ets96B_SRR3487900,Ets96B
CG4854_SRR3487901,CG4854
CG6276_SRR3487902,CG6276
CG3281_SRR3487903,CG3281
CG1792_SRR3487904,CG1792
br_SRR3487905,br
MED11_SRR3487906,MED11
CG1233_SRR3487907,CG1233
ush_SRR3487908,ush
nej_SRR3487909,nej
CG9609_SRR3487910,CG9609
Rpb11_SRR3487911,Rpb11
bigmax_SRR3487912,bigmax
Hr78_SRR3487913,Hr78
CG14667_SRR3487914,CG14667
HP1c_SRR3487915,HP1c
Dsp1_SRR3487916,Dsp1
Med_SRR3487917,Med
Deaf1_SRR3487918,Deaf1
cbt_SRR3487919,cbt
d4_SRR3487920,d4
crol_SRR3487921,crol
D19A_SRR3487922,D19A
XNP_SRR3487923,XNP
Bap170_SRR3487924,Bap170
CG13204_SRR3487925,CG13204
CG10321_SRR3487926,CG10321
emc_SRR3487927,emc
trr_SRR3487928,trr
CG12236_SRR3487929,CG12236
CG12942_SRR3487930,CG12942
glu_SRR3487931,glu
MED16_SRR3487932,MED16
CG2199_SRR3487933,CG2199
mip130_SRR3487934,mip130
brk_SRR3487935,brk
Jra_SRR3487936,Jra
Ssb-c31a_SRR3487937,Ssb-c31a
CG6689_SRR3487938,CG6689
Chi_SRR3487939,Chi
CG9305_SRR3487940,CG9305
sba_SRR3487941,sba
Hr39_SRR3487942,Hr39
LacZ_SRR3487943,LacZ
peb_SRR3487944,peb
Nurf-38_SRR3487945,Nurf-38
CG17385_SRR3487946,CG17385
CG7099_SRR3487947,CG7099
Ets97D_SRR3487948,Ets97D
CTCF_SRR3487949,CTCF
CG1663_SRR3487950,CG1663
E[spl]m3-HLH_SRR3487951,E[spl]m3-HLH
CG11902_SRR3487952,CG11902
aop_SRR3487953,aop
CG8145_SRR3487954,CG8145
brm_SRR3487955,brm
CG12299_SRR3487956,CG12299
Hnf4_SRR3487957,Hnf4
ttk_SRR3487958,ttk
grau_SRR3487959,grau
Hsf_SRR3487960,Hsf
CG1529_SRR3487961,CG1529
Su[var]2-10_SRR3487962,Su[var]2-10
chinmo_SRR3487963,chinmo
dalao_SRR3487964,dalao
e[y]1_SRR3487965,e[y]1
Iswi_SRR3487966,Iswi
Mio_SRR3487967,Mio
CG12219_SRR3487968,CG12219
Lhr_SRR3487969,Lhr
CG15073_SRR3487970,CG15073
DIP1_SRR3487971,DIP1
Xpd_SRR3487972,Xpd
CG8301_SRR3487973,CG8301
CG3838_SRR3487974,CG3838
h_SRR3487975,h
Blimp-1_SRR3487976,Blimp-1
Opbp_SRR3487977,Opbp
wdn_SRR3487978,wdn
MED7_SRR3487979,MED7
Rtf1_SRR3487980,Rtf1
E[var]3-9_SRR3487981,E[var]3-9
Kdm4A_SRR3487982,Kdm4A
HP1b_SRR3487983,HP1b
CG17912_SRR3487984,CG17912
dalao_SRR3487985,dalao
CG3065_SRR3487986,CG3065
Atf3_SRR3487987,Atf3
BtbVII_SRR3487988,BtbVII
CG9727_SRR3487989,CG9727
pnt_SRR3487990,pnt
CG2051_SRR3487991,CG2051
CG17361_SRR3487992,CG17361
tna_SRR3487993,tna
CG2678_SRR3487994,CG2678
tgo_SRR3487995,tgo
HmgD_SRR3487996,HmgD
mamo_SRR3487997,mamo
abo_SRR3487998,abo
Camta_SRR3487999,Camta
Alh_SRR3488000,Alh
CG10959_SRR3488001,CG10959
pan_SRR3488002,pan
CG17829_SRR3488003,CG17829
Meics_SRR3488004,Meics
CG7372_SRR3488005,CG7372
Clamp_SRR3488006,Clamp
Ssrp_SRR3488007,Ssrp
CG1529_SRR3488008,CG1529
MED30_SRR3488009,MED30
Aef1_SRR3488010,Aef1
CG10209_SRR3488011,CG10209
Atf6_SRR3488012,Atf6
CG13775_SRR3488013,CG13775
CG13897_SRR3488014,CG13897
CG18262_SRR3488015,CG18262
CG15436_SRR3488016,CG15436
ph-d_SRR3488017,ph-d
CG7987_SRR3488018,CG7987
Su[var]2-HP2_SRR3488019,Su[var]2-HP2
CG2202_SRR3488020,CG2202
CG4360_SRR3488021,CG4360
ap_SRR3488022,ap
CG1024_SRR3488023,CG1024
sqz_SRR3488024,sqz
Trf2_SRR3488025,Trf2
hang_SRR3488026,hang
Sfmbt_SRR3488027,Sfmbt
CG10147_SRR3488028,CG10147
CG11695_SRR3488029,CG11695
CG4557_SRR3488030,CG4557
CG11247_SRR3488031,CG11247
CG32767_SRR3488032,CG32767
Taf10_SRR3488033,Taf10
ash1_SRR3488034,ash1
Zif_SRR3488035,Zif
dl_SRR3488036,dl
CG5147_SRR3488037,CG5147
LacZ_SRR3488038,LacZ
CG17359_SRR3488039,CG17359
lid_SRR3488040,lid
CG15514_SRR3488041,CG15514
CG17328_SRR3488042,CG17328
CG2678_SRR3488043,CG2678
CG3032_SRR3488044,CG3032
exd_SRR3488045,exd
Asx_SRR3488046,Asx
CG10462_SRR3488047,CG10462
M1BP_SRR3488048,M1BP
dwg_SRR3488049,dwg
chn_SRR3488050,chn
CG17802_SRR3488051,CG17802
E2f1_SRR3488052,E2f1
Taf1_SRR3488053,Taf1
CG10949_SRR3488054,CG10949
wda_SRR3488055,wda
CG2116_SRR3488056,CG2116
Mrtf_SRR3488057,Mrtf
az2_SRR3488058,az2
CG10631_SRR3488059,CG10631
CG6791_SRR3488060,CG6791
mip120_SRR3488061,mip120
CG7386_SRR3488062,CG7386
CG17328_SRR3488063,CG17328
ranshi_SRR3488064,ranshi
Rabex-5_SRR3488065,Rabex-5
CG17568_SRR3488066,CG17568
fru_SRR3488067,fru
CG2129_SRR3488068,CG2129
CG3838_SRR3488069,CG3838
h_SRR3488070,h
Blimp-1_SRR3488071,Blimp-1
Opbp_SRR3488072,Opbp
wdn_SRR3488073,wdn
MED7_SRR3488074,MED7
Rtf1_SRR3488075,Rtf1
E[var]3-9_SRR3488076,E[var]3-9
Kdm4A_SRR3488077,Kdm4A
HP1b_SRR3488078,HP1b
CG17912_SRR3488079,CG17912
dalao_SRR3488080,dalao
CG3065_SRR3488081,CG3065
Atf3_SRR3488082,Atf3
BtbVII_SRR3488083,BtbVII
CG9727_SRR3488084,CG9727
pnt_SRR3488085,pnt
CG2051_SRR3488086,CG2051
CG17361_SRR3488087,CG17361
tna_SRR3488088,tna
CG2678_SRR3488089,CG2678
tgo_SRR3488090,tgo
HmgD_SRR3488091,HmgD
mamo_SRR3488092,mamo
abo_SRR3488093,abo
Camta_SRR3488094,Camta
Alh_SRR3488095,Alh
CG10959_SRR3488096,CG10959
pan_SRR3488097,pan
CG17829_SRR3488098,CG17829
Meics_SRR3488099,Meics
CG7372_SRR3488100,CG7372
Clamp_SRR3488101,Clamp
Ssrp_SRR3488102,Ssrp
CG1529_SRR3488103,CG1529
MED30_SRR3488104,MED30
Aef1_SRR3488105,Aef1
CG10209_SRR3488106,CG10209
Atf6_SRR3488107,Atf6
CG13775_SRR3488108,CG13775
CG13897_SRR3488109,CG13897
CG18262_SRR3488110,CG18262
CG15436_SRR3488111,CG15436
ph-d_SRR3488112,ph-d
CG7987_SRR3488113,CG7987
Su[var]2-HP2_SRR3488114,Su[var]2-HP2
CG2202_SRR3488115,CG2202
CG4360_SRR3488116,CG4360
ap_SRR3488117,ap
CG1024_SRR3488118,CG1024
sqz_SRR3488119,sqz
Trf2_SRR3488120,Trf2
hang_SRR3488121,hang
Sfmbt_SRR3488122,Sfmbt
CG10147_SRR3488123,CG10147
CG11695_SRR3488124,CG11695
CG4557_SRR3488125,CG4557
CG11247_SRR3488126,CG11247
CG32767_SRR3488127,CG32767
Taf10_SRR3488128,Taf10
ash1_SRR3488129,ash1
Zif_SRR3488130,Zif
dl_SRR3488131,dl
CG5147_SRR3488132,CG5147
LacZ_SRR3488133,LacZ
CG17359_SRR3488134,CG17359
lid_SRR3488135,lid
CG15514_SRR3488136,CG15514
CG17328_SRR3488137,CG17328
CG2678_SRR3488138,CG2678
CG3032_SRR3488139,CG3032
exd_SRR3488140,exd
Asx_SRR3488141,Asx
CG10462_SRR3488142,CG10462
M1BP_SRR3488143,M1BP
dwg_SRR3488144,dwg
chn_SRR3488145,chn
CG17802_SRR3488146,CG17802
E2f1_SRR3488147,E2f1
Taf1_SRR3488148,Taf1
CG10949_SRR3488149,CG10949
wda_SRR3488150,wda
CG2116_SRR3488151,CG2116
Mrtf_SRR3488152,Mrtf
az2_SRR3488153,az2
CG10631_SRR3488154,CG10631
CG6791_SRR3488155,CG6791
mip120_SRR3488156,mip120
CG7386_SRR3488157,CG7386
CG17328_SRR3488158,CG17328
ranshi_SRR3488159,ranshi
Rabex-5_SRR3488160,Rabex-5
CG17568_SRR3488161,CG17568
fru_SRR3488162,fru
CG2129_SRR3488163,CG2129
enok_SRR3488164,enok
Hcf_SRR3488165,Hcf
key_SRR3488166,key
CG10654_SRR3488167,CG10654
CG12219_SRR3488168,CG12219
cwo_SRR3488169,cwo
Not1_SRR3488170,Not1
CG3995_SRR3488171,CG3995
CG5641_SRR3488172,CG5641
CG7928_SRR3488173,CG7928
CG8944_SRR3488174,CG8944
CrebA_SRR3488175,CrebA
ERR_SRR3488176,ERR
her_SRR3488177,her
kto_SRR3488178,kto
CG10669_SRR3488179,CG10669
CG12299_SRR3488180,CG12299
cwo_SRR3488181,cwo
CG2202_SRR3488182,CG2202
CG4282_SRR3488183,CG4282
Spps_SRR3488184,Spps
CG7963_SRR3488185,CG7963
CG9215_SRR3488186,CG9215
crp_SRR3488187,crp
HLH106_SRR3488188,HLH106
l[1]1Bi_SRR3488189,l[1]1Bi
CG10979_SRR3488190,CG10979
CG12391_SRR3488191,CG12391
Set2_SRR3488192,Set2
CG31365_SRR3488193,CG31365
CG4424_SRR3488194,CG4424
CG6254_SRR3488195,CG6254
CG8089_SRR3488196,CG8089
CG9705_SRR3488197,CG9705
cyc_SRR3488198,cyc
foxo_SRR3488199,foxo
E[spl]mbeta-HLH_SRR3488200,E[spl]mbeta-HLH
lds_SRR3488201,lds
CG11398_SRR3488202,CG11398
CG12744_SRR3488203,CG12744
CG17568_SRR3488204,CG17568
CG31388_SRR3488205,CG31388
CG4496_SRR3488206,CG4496
CG6654_SRR3488207,CG6654
CG8359_SRR3488208,CG8359
Chd1_SRR3488209,Chd1
da_SRR3488210,da
ftz-f1_SRR3488211,ftz-f1
Hmr_SRR3488212,Hmr
lilli_SRR3488213,lilli
CG11414_SRR3488214,CG11414
CG13123_SRR3488215,CG13123
CG17806_SRR3488216,CG17806
CG3407_SRR3488217,CG3407
mtRNApol_SRR3488218,mtRNApol
Plzf_SRR3488219,Plzf
CG8388_SRR3488220,CG8388
Chro_SRR3488221,Chro
