sample_name,BioSample,rnai,Assay.Type,LibraryLayout,LibrarySource,LibrarySelection,Strain,Instrument,Experiment,Run,Sample.Name
MED4_SRR3487882,SAMN04960029,MED4,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749883,SRR3487882,GSM2146145
Taf4_SRR3487883,SAMN04960030,Taf4,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749884,SRR3487883,GSM2146146
pad_SRR3487884,SAMN04960031,pad,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749885,SRR3487884,GSM2146147
CG10366_SRR3487885,SAMN04960032,CG10366,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749886,SRR3487885,GSM2146148
CG3711_SRR3487886,SAMN04960033,CG3711,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749887,SRR3487886,GSM2146149
zfh1_SRR3487887,SAMN04960034,zfh1,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749888,SRR3487887,GSM2146150
Met_SRR3487888,SAMN04960027,Met,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749889,SRR3487888,GSM2146151
CG8159_SRR3487889,SAMN04960095,CG8159,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749890,SRR3487889,GSM2146152
lola_SRR3487890,SAMN04960096,lola,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749891,SRR3487890,GSM2146153
Taf12_SRR3487891,SAMN04960097,Taf12,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749892,SRR3487891,GSM2146154
CG17612_SRR3487892,SAMN04960098,CG17612,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749893,SRR3487892,GSM2146155
Cdk8_SRR3487893,SAMN04960099,Cdk8,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749894,SRR3487893,GSM2146156
Spt3_SRR3487894,SAMN04960100,Spt3,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749895,SRR3487894,GSM2146157
bs_SRR3487895,SAMN04960101,bs,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749896,SRR3487895,GSM2146158
vri_SRR3487896,SAMN04960102,vri,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749897,SRR3487896,GSM2146159
btn_SRR3487897,SAMN04960103,btn,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749898,SRR3487897,GSM2146160
Taf7_SRR3487898,SAMN04960104,Taf7,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749899,SRR3487898,GSM2146161
Gcn5_SRR3487899,SAMN04960105,Gcn5,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749900,SRR3487899,GSM2146162
Ets96B_SRR3487900,SAMN04960106,Ets96B,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749901,SRR3487900,GSM2146163
CG4854_SRR3487901,SAMN04960107,CG4854,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749902,SRR3487901,GSM2146164
CG6276_SRR3487902,SAMN04960108,CG6276,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749903,SRR3487902,GSM2146165
CG3281_SRR3487903,SAMN04960109,CG3281,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749904,SRR3487903,GSM2146166
CG1792_SRR3487904,SAMN04960110,CG1792,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749905,SRR3487904,GSM2146167
br_SRR3487905,SAMN04960111,br,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749906,SRR3487905,GSM2146168
MED11_SRR3487906,SAMN04960112,MED11,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749907,SRR3487906,GSM2146169
CG1233_SRR3487907,SAMN04960113,CG1233,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749908,SRR3487907,GSM2146170
ush_SRR3487908,SAMN04960114,ush,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749909,SRR3487908,GSM2146171
nej_SRR3487909,SAMN04960115,nej,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749910,SRR3487909,GSM2146172
CG9609_SRR3487910,SAMN04960116,CG9609,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749911,SRR3487910,GSM2146173
Rpb11_SRR3487911,SAMN04960117,Rpb11,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749912,SRR3487911,GSM2146174
bigmax_SRR3487912,SAMN04960118,bigmax,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749913,SRR3487912,GSM2146175
Hr78_SRR3487913,SAMN04960119,Hr78,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749914,SRR3487913,GSM2146176
CG14667_SRR3487914,SAMN04960120,CG14667,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749915,SRR3487914,GSM2146177
HP1c_SRR3487915,SAMN04960121,HP1c,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749916,SRR3487915,GSM2146178
Dsp1_SRR3487916,SAMN04960122,Dsp1,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749917,SRR3487916,GSM2146179
Med_SRR3487917,SAMN04960123,Med,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749918,SRR3487917,GSM2146180
Deaf1_SRR3487918,SAMN04960124,Deaf1,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749919,SRR3487918,GSM2146181
cbt_SRR3487919,SAMN04960065,cbt,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749920,SRR3487919,GSM2146182
d4_SRR3487920,SAMN04960066,d4,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749921,SRR3487920,GSM2146183
crol_SRR3487921,SAMN04960067,crol,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749922,SRR3487921,GSM2146184
D19A_SRR3487922,SAMN04960068,D19A,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749923,SRR3487922,GSM2146185
XNP_SRR3487923,SAMN04960069,XNP,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749924,SRR3487923,GSM2146186
Bap170_SRR3487924,SAMN04960070,Bap170,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749925,SRR3487924,GSM2146187
CG13204_SRR3487925,SAMN04960071,CG13204,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749926,SRR3487925,GSM2146188
CG10321_SRR3487926,SAMN04960072,CG10321,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749927,SRR3487926,GSM2146189
emc_SRR3487927,SAMN04960073,emc,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749928,SRR3487927,GSM2146190
trr_SRR3487928,SAMN04960074,trr,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749929,SRR3487928,GSM2146191
CG12236_SRR3487929,SAMN04960075,CG12236,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749930,SRR3487929,GSM2146192
CG12942_SRR3487930,SAMN04960076,CG12942,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749931,SRR3487930,GSM2146193
glu_SRR3487931,SAMN04960077,glu,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749932,SRR3487931,GSM2146194
MED16_SRR3487932,SAMN04960078,MED16,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749933,SRR3487932,GSM2146195
CG2199_SRR3487933,SAMN04960079,CG2199,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749934,SRR3487933,GSM2146196
mip130_SRR3487934,SAMN04960080,mip130,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749935,SRR3487934,GSM2146197
brk_SRR3487935,SAMN04960081,brk,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749936,SRR3487935,GSM2146198
Jra_SRR3487936,SAMN04960082,Jra,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749937,SRR3487936,GSM2146199
Ssb-c31a_SRR3487937,SAMN04960083,Ssb-c31a,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749938,SRR3487937,GSM2146200
CG6689_SRR3487938,SAMN04960084,CG6689,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749939,SRR3487938,GSM2146201
Chi_SRR3487939,SAMN04960085,Chi,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749940,SRR3487939,GSM2146202
CG9305_SRR3487940,SAMN04960086,CG9305,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749941,SRR3487940,GSM2146203
sba_SRR3487941,SAMN04960087,sba,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749942,SRR3487941,GSM2146204
Hr39_SRR3487942,SAMN04960088,Hr39,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749943,SRR3487942,GSM2146205
LacZ_SRR3487943,SAMN04960089,LacZ,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749944,SRR3487943,GSM2146206
peb_SRR3487944,SAMN04960093,peb,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749945,SRR3487944,GSM2146207
Nurf-38_SRR3487945,SAMN04960094,Nurf-38,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749946,SRR3487945,GSM2146208
CG17385_SRR3487946,SAMN04960035,CG17385,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749947,SRR3487946,GSM2146209
CG7099_SRR3487947,SAMN04960036,CG7099,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749948,SRR3487947,GSM2146210
Ets97D_SRR3487948,SAMN04960090,Ets97D,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749949,SRR3487948,GSM2146211
CTCF_SRR3487949,SAMN04960091,CTCF,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749950,SRR3487949,GSM2146212
CG1663_SRR3487950,SAMN04960092,CG1663,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749951,SRR3487950,GSM2146213
E[spl]m3-HLH_SRR3487951,SAMN04960037,E[spl]m3-HLH,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749952,SRR3487951,GSM2146214
CG11902_SRR3487952,SAMN04960038,CG11902,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749953,SRR3487952,GSM2146215
aop_SRR3487953,SAMN04960039,aop,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749954,SRR3487953,GSM2146216
CG8145_SRR3487954,SAMN04960040,CG8145,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749955,SRR3487954,GSM2146217
brm_SRR3487955,SAMN04960041,brm,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749956,SRR3487955,GSM2146218
CG12299_SRR3487956,SAMN04960042,CG12299,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749957,SRR3487956,GSM2146219
Hnf4_SRR3487957,SAMN04960043,Hnf4,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749958,SRR3487957,GSM2146220
ttk_SRR3487958,SAMN04960044,ttk,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749959,SRR3487958,GSM2146221
grau_SRR3487959,SAMN04960045,grau,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749960,SRR3487959,GSM2146222
Hsf_SRR3487960,SAMN04960046,Hsf,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749961,SRR3487960,GSM2146223
CG1529_SRR3487961,SAMN04960047,CG1529,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749962,SRR3487961,GSM2146224
Su[var]2-10_SRR3487962,SAMN04960048,Su[var]2-10,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749963,SRR3487962,GSM2146225
chinmo_SRR3487963,SAMN04960049,chinmo,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749964,SRR3487963,GSM2146226
dalao_SRR3487964,SAMN04960050,dalao,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749965,SRR3487964,GSM2146227
