sample_name,BioSample,Genotype,Sample.Name,Strain,Assay.Type,LibraryLayout,LibrarySource,LibrarySelection,Instrument,Experiment,Run
piwi[2]_piwi[dN]_SRR1924201,SAMN03323699,piwi[2]/piwi[dN],piwi[2]_piwi[dN],piwi[2]/piwi[dN],RNA-Seq,PAIRED,TRANSCRIPTOMIC,unspecified,Illumina HiSeq 2000,SRX964104,SRR1924201
piwi[2]_piwi[dN]_SRR1924202,SAMN03323699,piwi[2]/piwi[dN],piwi[2]_piwi[dN],piwi[2]/piwi[dN],RNA-Seq,PAIRED,TRANSCRIPTOMIC,unspecified,Illumina HiSeq 2000,SRX964104,SRR1924202
aub[HN2]_aub[QC42]_SRR1924203,SAMN03323700,aub[HN2]/aub[QC42],aub[HN2]_aub[QC42],aub[HN2]/aub[QC42],RNA-Seq,PAIRED,TRANSCRIPTOMIC,unspecified,Illumina HiSeq 2500,SRX964105,SRR1924203
aub[HN2]_aub[QC42]_SRR1924204,SAMN03323700,aub[HN2]/aub[QC42],aub[HN2]_aub[QC42],aub[HN2]/aub[QC42],RNA-Seq,PAIRED,TRANSCRIPTOMIC,unspecified,Illumina HiSeq 2500,SRX964105,SRR1924204
ago3[t2]_ago3[t3]_SRR1924205,SAMN03323701,ago3[t2]/ago3[t3],ago3[t2]_ago3[t3],ago3[t2]/ago3[t3],RNA-Seq,PAIRED,TRANSCRIPTOMIC,unspecified,Illumina HiSeq 2000,SRX964106,SRR1924205
ago3[t2]_ago3[t3]_SRR1924206,SAMN03323701,ago3[t2]/ago3[t3],ago3[t2]_ago3[t3],ago3[t2]/ago3[t3],RNA-Seq,PAIRED,TRANSCRIPTOMIC,unspecified,Illumina HiSeq 2000,SRX964106,SRR1924206
aub[HN2]_aub[QC42]_ago3[t2]_ago3[t3]_SRR1924207,SAMN03323702,aub[HN2]/aub[QC42]; ago3[t2]/ago3[t3],aub[HN2]_aub[QC42]_ago3[t2]_ago3[t3],aub[HN2]/aub[QC42]; ago3[t2]/ago3[t3],RNA-Seq,PAIRED,TRANSCRIPTOMIC,unspecified,Illumina HiSeq 2000,SRX964107,SRR1924207
aub[HN2]_aub[QC42]_ago3[t2]_ago3[t3]_SRR1924208,SAMN03323702,aub[HN2]/aub[QC42]; ago3[t2]/ago3[t3],aub[HN2]_aub[QC42]_ago3[t2]_ago3[t3],aub[HN2]/aub[QC42]; ago3[t2]/ago3[t3],RNA-Seq,PAIRED,TRANSCRIPTOMIC,unspecified,Illumina HiSeq 2000,SRX964107,SRR1924208
piwi[2]_piwi[dN]_ago3[t2]_ago3[t3]_SRR1924209,SAMN03323703,piwi[2]/piwi[dN]; ago3[t2]/ago3[t3],piwi[2]_piwi[dN]_ago3[t2]_ago3[t3],piwi[2]/piwi[dN]; ago3[t2]/ago3[t3],RNA-Seq,PAIRED,TRANSCRIPTOMIC,unspecified,Illumina HiSeq 2000,SRX964108,SRR1924209
piwi[2]_piwi[dN]_ago3[t2]_ago3[t3]_SRR1924210,SAMN03323703,piwi[2]/piwi[dN]; ago3[t2]/ago3[t3],piwi[2]_piwi[dN]_ago3[t2]_ago3[t3],piwi[2]/piwi[dN]; ago3[t2]/ago3[t3],RNA-Seq,PAIRED,TRANSCRIPTOMIC,unspecified,Illumina HiSeq 2000,SRX964108,SRR1924210
w1_SRR1783725,SAMN03323698,w1,w1,w1,RNA-Seq,PAIRED,TRANSCRIPTOMIC,unspecified,Illumina HiSeq 2000,SRX862756,SRR1783725
w1_SRR1783726,SAMN03323698,w1,w1,w1,RNA-Seq,PAIRED,TRANSCRIPTOMIC,unspecified,Illumina HiSeq 2000,SRX862756,SRR1783726
